year,site,site.code,plant.species,week,flw.per.meter.sum.week,flw.count.sum.week
2015,Copper.Creek,CC,Claytonia.lanceolata,2,868,2170
2015,Copper.Creek,CC,Claytonia.lanceolata,3,1119.2,2798
2015,Copper.Creek,CC,Claytonia.lanceolata,4,138.8,347
2015,Copper.Creek,CC,Claytonia.lanceolata,5,19.599999999999998,49
2015,Copper.Creek,CC,Claytonia.lanceolata,6,0.4,1
2015,Copper.Creek,CC,Collomia.linearis,9,5.6,14
2015,Copper.Creek,CC,Collomia.linearis,10,28.400000000000002,71
2015,Copper.Creek,CC,Collomia.linearis,12,3.6,9
2015,Copper.Creek,CC,Delphinium.barbeyi,9,16.8,42
2015,Copper.Creek,CC,Delphinium.barbeyi,10,63.599999999999994,159
2015,Copper.Creek,CC,Delphinium.barbeyi,11,161.2,403
2015,Copper.Creek,CC,Delphinium.barbeyi,12,171.6,429
2015,Copper.Creek,CC,Delphinium.barbeyi,13,15.200000000000001,38
2015,Copper.Creek,CC,Delphinium.nuttallianum,4,22.8,57
2015,Copper.Creek,CC,Delphinium.nuttallianum,5,116,290
2015,Copper.Creek,CC,Delphinium.nuttallianum,6,199.6,499
2015,Copper.Creek,CC,Delphinium.nuttallianum,7,124.8,312
2015,Copper.Creek,CC,Delphinium.nuttallianum,8,8.8,22
2015,Copper.Creek,CC,Delphinium.nuttallianum,9,0.8,2
2015,Copper.Creek,CC,Dugaldia.hoopesii,9,1.6,4
2015,Copper.Creek,CC,Dugaldia.hoopesii,10,1.6,4
2015,Copper.Creek,CC,Erigeron.elatior,11,8,20
2015,Copper.Creek,CC,Erigeron.elatior,12,15.6,39
2015,Copper.Creek,CC,Erigeron.elatior,13,28.799999999999997,72
2015,Copper.Creek,CC,Erigeron.elatior,14,2.8,7
2015,Copper.Creek,CC,Erigeron.elatior,15,2.4,6
2015,Copper.Creek,CC,Erigeron.speciosus,9,0.4,1
2015,Copper.Creek,CC,Erigeron.speciosus,10,9.2,23
2015,Copper.Creek,CC,Erigeron.speciosus,11,60,150
2015,Copper.Creek,CC,Erigeron.speciosus,12,75.2,188
2015,Copper.Creek,CC,Erigeron.speciosus,13,204.4,511
2015,Copper.Creek,CC,Erigeron.speciosus,14,57.6,144
2015,Copper.Creek,CC,Erigeron.speciosus,15,27.2,68
2015,Copper.Creek,CC,Erigeron.speciosus,16,2,5
2015,Copper.Creek,CC,Eriogonum.umbellatum,9,0.4,1
2015,Copper.Creek,CC,Eriogonum.umbellatum,10,0.4,1
2015,Copper.Creek,CC,Erysimum.capitatum,8,0.4,1
2015,Copper.Creek,CC,Geranium.richardsonii,7,2.8,7
2015,Copper.Creek,CC,Geranium.richardsonii,8,10.8,27
2015,Copper.Creek,CC,Geranium.richardsonii,9,44,110
2015,Copper.Creek,CC,Geranium.richardsonii,10,14.4,36
2015,Copper.Creek,CC,Geranium.richardsonii,11,14.4,36
2015,Copper.Creek,CC,Geranium.richardsonii,12,9.2,23
2015,Copper.Creek,CC,Geranium.richardsonii,13,0.4,1
2015,Copper.Creek,CC,Hackelia.floribunda,9,9.2,23
