site,year,week,n_bee,n_plant,S,S_eff,Omega,omega
FP,2021,5,3,1,4,4,0.5,0.8408964152537145
FP,2021,6,1,1,2,2,0.5,0.7071067811865476
FP,2021,7,6,5,11,11,0.18185362093517995,0.8564499645220383
FP,2021,8,6,4,10,10,0.499998634211457,0.9330327366713401
FP,2021,9,7,6,13,13,0.4999987783600655,0.9480773361529163
FP,2021,10,8,9,17,17,0.16603491134993525,0.8997655838573749
FP,2021,11,7,9,16,16,0.49997300532693695,0.9576000493433595
FP,2021,12,8,8,16,16,0.15027931921822463,0.8882929211059942
FP,2021,13,8,10,18,18,0.4999347079153322,0.9622168558414028
FP,2021,14,8,16,24,24,0.4999105787805366,0.9715247009022203
FP,2021,15,8,18,26,26,0.49973870872834464,0.973673145208874
FP,2021,16,9,11,20,20,0.4999873750413897,0.9659351094196018
FP,2021,17,8,8,16,16,0.4999798834822129,0.9576008726977316
FP,2021,18,7,6,13,13,0.49998102569665936,0.9480747467352592
FP,2021,19,5,3,8,8,0.5,0.9170040432046712
FP,2021,20,3,2,5,5,0.5,0.8705505632961241
FP,2021,21,1,1,2,2,0.5,0.7071067811865476
FP,2021,22,1,1,2,2,0.5,0.7071067811865476
FP,2022,1,1,1,2,2,0.5,0.7071067811865476
FP,2022,2,2,1,3,3,0.5,0.7937005259840998
FP,2022,3,2,3,5,5,0.5,0.8705505632961241
FP,2022,4,5,3,8,8,0.5,0.9170040432046712
FP,2022,5,4,5,9,9,0.0421508325720052,0.7033972792813327
FP,2022,6,3,3,6,6,0.49999999999994305,0.8908987181403224
FP,2022,7,6,3,9,9,0.191882056523341,0.832409736872438
FP,2022,8,4,4,8,8,0.21280212467052317,0.8241324125410576
FP,2022,9,3,4,7,7,0.5,0.9057236642639067
FP,2022,10,5,6,11,11,0.06864225898870827,0.7838547547397969
FP,2022,11,4,8,12,12,0.22542470543154391,0.8832496199517895
FP,2022,12,7,11,18,18,0.499119295412958,0.9621295990464558
FP,2022,13,7,5,12,12,0.02495691233819115,0.7352458318209941
FP,2022,14,8,6,14,14,0.14678072295029737,0.8719194361879595
FP,2022,15,8,4,12,12,0.4999564795048319,0.9438674660956422
FP,2022,16,7,6,13,13,0.4999213372609399,0.9480660399099511
FP,2022,17,5,5,10,10,0.08166438563242587,0.7784007933905435
FP,2022,18,3,3,6,6,0.17470587630047232,0.7476837102833231
FP,2022,19,1,1,2,2,0.5,0.7071067811865476
FP,2023,1,1,1,2,2,0.5,0.7071067811865476
FP,2023,2,2,1,3,3,0.5,0.7937005259840998
FP,2023,3,4,2,6,6,0.5,0.8908987181403393
FP,2023,4,2,2,4,4,0.5,0.8408964152537145
FP,2023,5,3,2,5,5,0.2126706884709736,0.7337388714478861
FP,2023,6,8,5,13,13,0.4999814045487681,0.9480748019958165
FP,2023,7,2,3,5,5,0.5,0.8705505632961241
FP,2023,8,1,2,3,3,0.5,0.7937005259840998
FP,2023,9,4,3,7,7,0.23115421830212346,0.8112016622084616
FP,2023,10,4,5,9,9,0.4995742860036381,0.9257870884965946
FP,2023,11,3,4,7,7,0.0665721388306761,0.6790455852373256
FP,2023,12,3,5,8,8,0.5,0.9170040432046712
FP,2023,13,3,3,6,6,0.24323392255121914,0.7900793129611124
FP,2023,14,5,3,8,8,0.5,0.9170040432046712
FP,2023,15,5,2,7,7,0.5,0.9057236642639067
GS,2015,2,1,1,2,2,0.5,0.7071067811865476
GS,2015,3,2,4,6,6,0.2034678370691193,0.7669186422716958
GS,2015,4,4,4,8,8,0.2148177797571102,0.8251041623042954
GS,2015,5,2,3,5,5,0.5,0.8705505632961241
GS,2015,6,5,7,12,12,0.4999598297370172,0.9438679931690945
GS,2015,7,5,5,10,10,0.191576598840197,0.8476845073461112
GS,2015,8,6,5,11,11,0.49998879148017084,0.9389289971829851
GS,2015,9,7,8,15,15,0.13554909808329987,0.8752654296495083
GS,2015,10,7,7,14,14,0.17874716557081555,0.8842773716289635
GS,2015,11,5,9,14,14,0.49954833115350467,0.9516337199478787
GS,2015,12,5,8,13,13,0.4999896146610724,0.9480759995390627
GS,2015,13,6,5,11,11,0.49999999999633093,0.93893091066108
GS,2015,14,5,4,9,9,0.15908996894558747,0.8152553249087368
GS,2015,15,4,2,6,6,0.5,0.8908987181403393
GS,2015,16,5,3,8,8,0.4999817934337326,0.9169998692644568
GS,2016,3,1,1,2,2,0.5,0.7071067811865476
GS,2016,4,1,3,4,4,0.5,0.8408964152537145
GS,2016,5,1,3,4,4,0.5,0.8408964152537145
GS,2016,6,4,4,8,8,0.05775168989813034,0.7001572449918684
GS,2016,7,6,6,12,12,0.06596036480112585,0.7972727502811551
GS,2016,8,3,3,6,6,0.5,0.8908987181403393
GS,2016,9,3,5,8,8,0.4999999997204432,0.9170040431405826
GS,2016,10,5,3,8,8,0.5,0.9170040432046712
GS,2016,11,4,8,12,12,0.49998933065903084,0.9438726342457989
GS,2016,12,4,7,11,11,0.0910501461240929,0.8042464447520552
GS,2016,13,4,6,10,10,0.5,0.9330329915368074
GS,2016,14,4,6,10,10,0.5,0.9330329915368074
GS,2016,15,8,7,15,15,0.1558534714771061,0.8834482172145081
GS,2016,16,5,3,8,8,0.49999999999975797,0.9170040432046157
GS,2016,17,3,2,5,5,0.5,0.8705505632961241
GS,2017,2,1,1,2,2,0.5,0.7071067811865476
GS,2017,3,2,1,3,3,0.5,0.7937005259840998
GS,2017,4,1,1,2,2,0.5,0.7071067811865476
GS,2017,5,4,3,7,7,0.10516853617976468,0.7248854859458453
GS,2017,6,6,5,11,11,0.4999891120373658,0.9389290519079132
GS,2017,7,5,6,11,11,0.08110333128277208,0.7958325523883268
GS,2017,8,4,8,12,12,0.2212968595176989,0.8818903780801096
GS,2017,9,6,10,16,16,0.05458412639237705,0.8338091329038765
GS,2017,10,6,12,18,18,0.00963303938833706,0.7726571930240216
GS,2017,11,5,15,20,20,0.16706337675792354,0.9144165184659505
GS,2017,12,7,12,19,19,0.4999894750294626,0.9641749297293206
GS,2017,13,8,6,14,14,0.18328630684564728,0.885862729164805
GS,2017,14,6,6,12,12,0.4999999999703218,0.9438743126770247
GS,2017,15,3,4,7,7,0.4999916411435858,0.905721501158677
GS,2018,3,1,1,2,2,0.5,0.7071067811865476
GS,2018,4,1,1,2,2,0.5,0.7071067811865476
GS,2018,5,2,1,3,3,0.5,0.7937005259840998
GS,2018,6,1,3,4,4,0.5,0.8408964152537145
GS,2018,7,3,2,5,5,0.5,0.8705505632961241
GS,2018,8,3,3,6,6,0.21520491112210813,0.7741207279498126
GS,2018,9,4,3,7,7,0.07887912110292924,0.695701839772507
GS,2018,10,4,6,10,10,0.0776267242040278,0.7744638056915353
GS,2018,11,1,8,9,9,0.5,0.9258747122872905
GS,2018,12,4,6,10,10,0.06406432445189736,0.7597341093146954
GS,2018,13,3,8,11,11,0.09028448877821307,0.8036292587913906
GS,2018,14,5,7,12,12,0.10190688653189971,0.8267044863008792
GS,2018,15,5,5,10,10,0.17608671105938573,0.8405676236801608
GS,2018,16,2,2,4,4,0.5,0.8408964152537145
GS,2019,2,3,2,5,5,0.5,0.8705505632961241
GS,2019,3,1,1,2,2,0.5,0.7071067811865476
GS,2019,4,2,2,4,4,0.25,0.7071067811865476
GS,2019,6,2,3,5,5,0.5,0.8705505632961241
GS,2019,7,4,2,6,6,0.5,0.8908987181403393
GS,2019,8,2,4,6,6,0.18767573240635219,0.7566610055654839
GS,2019,9,4,9,13,13,0.49999374855218026,0.9480766025097389
GS,2019,10,4,9,13,13,0.4999677810014577,0.9480728147981637
GS,2019,11,6,15,21,21,0.49999848654239004,0.9675316390648018
GS,2019,12,6,9,15,15,0.49999922810589825,0.9548415056387988
GS,2019,13,8,12,20,20,0.4999604624984431,0.9659325097104806
GS,2019,14,5,6,11,11,0.49997570808811254,0.9389267635834051
GS,2019,15,6,3,9,9,0.4999999999992972,0.9258747122871458
GS,2019,16,4,2,6,6,0.15406580256173635,0.732179741686126
GS,2020,2,3,1,4,4,0.5,0.8408964152537145
GS,2020,3,3,4,7,7,0.5,0.9057236642639067
GS,2020,4,7,6,13,13,0.4991379685411324,0.9479516799262923
GS,2020,5,5,5,10,10,0.49992419683850153,0.9330188452015692
GS,2020,6,6,6,12,12,0.18627518759950007,0.8693198254335511
GS,2020,7,4,7,11,11,0.4999954218817211,0.9389301291063146
GS,2020,8,3,6,9,9,0.1997115657002241,0.836116943048098
GS,2020,9,2,2,4,4,0.22295724911640874,0.687156089211273
GS,2020,10,5,7,12,12,0.04295017675574484,0.7692728638718337
GS,2020,11,5,8,13,13,0.193475566994392,0.8813026718444521
GS,2020,12,4,5,9,9,0.21537758665971918,0.8431622757551989
GS,2020,13,3,2,5,5,0.5,0.8705505632961241
GS,2020,14,2,1,3,3,0.5,0.7937005259840998
GS,2020,15,1,2,3,3,0.5,0.7937005259840998
GS,2020,16,1,2,3,3,0.5,0.7937005259840998
GS,2021,3,1,1,2,2,0.5,0.7071067811865476
GS,2021,4,1,1,2,2,0.5,0.7071067811865476
GS,2021,5,5,3,8,8,0.195006927175433,0.815185141028123
GS,2021,6,2,1,3,3,0.5,0.7937005259840998
GS,2021,7,6,4,10,10,0.4999969094536025,0.9330324148188531
GS,2021,8,6,5,11,11,0.4999597892340274,0.9389240458414643
GS,2021,9,6,9,15,15,0.15617519292518264,0.8835696777983951
GS,2021,10,5,12,17,17,0.49989497940149374,0.9600348239554042
GS,2021,11,6,8,14,14,0.4999987096512447,0.9516949775791729
GS,2021,12,8,13,21,21,0.49999217609729546,0.9675310575780912
GS,2021,13,8,15,23,23,0.4999898875102021,0.9703118994999959
GS,2021,14,7,14,21,21,0.4999879698174402,0.967530669979388
GS,2021,15,9,13,22,22,0.499995999482207,0.9689841214963141
GS,2021,16,7,8,15,15,0.4999999997423189,0.9548416038776106
GS,2021,17,8,5,13,13,0.49998460762203323,0.9480752692045882
GS,2021,18,8,3,11,11,0.4999994352305768,0.9389308142472079
GS,2021,19,5,3,8,8,0.5,0.9170040432046712
GS,2021,20,3,3,6,6,0.5,0.8908987181403393
GS,2022,1,1,1,2,2,0.5,0.7071067811865476
GS,2022,2,2,2,4,4,0.5,0.8408964152537145
GS,2022,3,2,2,4,4,0.5,0.8408964152537145
GS,2022,4,2,1,3,3,0.5,0.7937005259840998
GS,2022,5,6,2,8,8,0.1666084107586093,0.7993042372027571
GS,2022,6,6,4,10,10,0.49999999974967546,0.9330329914900952
GS,2022,7,5,8,13,13,0.49999339065425147,0.9480765503068148
GS,2022,8,5,6,11,11,0.5,0.9389309106617063
GS,2022,9,4,5,9,9,0.5,0.9258747122872905
GS,2022,10,4,9,13,13,0.16521771090561235,0.8706638396521564
GS,2022,11,5,8,13,13,0.49996637779777453,0.9480726101171301
GS,2022,12,5,13,18,18,0.49999154360029385,0.9622229327814386
GS,2022,13,9,8,17,17,0.4999896241017548,0.9600455149202035
GS,2022,14,7,4,11,11,0.49998607672786577,0.9389285337242411
GS,2022,15,6,5,11,11,0.4999999793342075,0.9389309071337515
GS,2022,16,7,3,10,10,0.17595583663690267,0.8405051285536272
GS,2022,17,4,1,5,5,0.5,0.8705505632961241
GS,2022,18,2,1,3,3,0.5,0.7937005259840998
GS,2023,1,1,1,2,2,0.5,0.7071067811865476
GS,2023,2,2,2,4,4,0.5,0.8408964152537145
GS,2023,3,3,4,7,7,0.5,0.9057236642639067
GS,2023,4,3,3,6,6,0.17410396349568594,0.7472537611763372
GS,2023,5,4,4,8,8,0.5,0.9170040432046712
GS,2023,6,5,5,10,10,0.4999518453422119,0.9330240051704561
GS,2023,7,6,5,11,11,0.17600339681238966,0.853907846965204
GS,2023,8,3,4,7,7,0.0710696175955234,0.6854169720810077
GS,2023,9,4,6,10,10,0.5,0.9330329915368074
GS,2023,10,4,3,7,7,0.5,0.9057236642639067
GS,2023,11,3,5,8,8,0.1916381443373327,0.8134113809683104
GS,2023,12,3,1,4,4,0.5,0.8408964152537145
GS,2023,14,1,1,2,2,0.5,0.7071067811865476
RH,2015,3,2,1,3,3,0.5,0.7937005259840998
RH,2015,4,5,2,7,7,0.1858938363271461,0.7863380375350971
RH,2015,5,5,4,9,9,0.15430563829741384,0.8124940691201552
RH,2015,6,6,3,9,9,0.4999943362841118,0.9258735469722419
RH,2015,7,4,5,9,9,0.1965021306256939,0.8346132046420608
RH,2015,8,4,6,10,10,0.49999998424624986,0.9330329885970536
RH,2015,9,5,6,11,11,0.4999999993655006,0.938930910553388
RH,2015,10,6,8,14,14,0.16697441934982896,0.8799844458416693
RH,2015,11,6,10,16,16,0.49980779173012996,0.9575802691429927
RH,2015,12,5,11,16,16,0.03338501167135079,0.8085780931159766
RH,2015,13,4,7,11,11,0.499974257326225,0.9389265159057428
RH,2015,14,6,5,11,11,0.4999952750702228,0.9389301040432201
RH,2015,15,5,5,10,10,0.4999747648644637,0.9330282823870537
RH,2015,16,4,3,7,7,0.11643427447016029,0.7355005085214694
RH,2016,5,2,1,3,3,0.5,0.7937005259840998
RH,2016,6,4,4,8,8,0.09583416304739485,0.7459162084529147
RH,2016,7,3,4,7,7,0.10787503486577937,0.7275215294528553
RH,2016,8,5,4,9,9,0.4999985361204823,0.9258744110937813
RH,2016,9,6,8,14,14,0.050403613923594416,0.8078276076309061
RH,2016,10,6,6,12,12,0.05403163767189836,0.78412868994511975
RH,2016,11,6,7,13,13,0.4999654188967259,0.9480724702448591
RH,2016,12,6,6,12,12,0.49999962729575126,0.943874254050679
RH,2016,13,3,5,8,8,0.5,0.9170040432046712
RH,2016,14,2,4,6,6,0.5,0.8908987181403393
RH,2016,15,3,7,10,10,0.49997942138114193,0.933029151359621
RH,2016,16,6,3,9,9,0.5,0.9258747122872905
RH,2016,17,2,2,4,4,0.5,0.8408964152537145
RH,2016,18,3,2,5,5,0.21037719501945484,0.7321494358377136
RH,2017,3,4,2,6,6,0.5,0.8908987181403393
RH,2017,4,3,2,5,5,0.23628010764713395,0.749351242948452
RH,2017,5,3,2,5,5,0.5,0.8705505632961241
RH,2017,6,5,3,8,8,0.08904858277313286,0.739100296490104
RH,2017,7,3,4,7,7,0.49998690873601265,0.9057202764922954
RH,2017,8,7,8,15,15,0.4997781377423192,0.954813352284654
RH,2017,9,5,9,14,14,0.11678203432276596,0.8577959720528486
RH,2017,10,5,8,13,13,0.17769323282888266,0.8755528701983577
RH,2017,11,5,12,17,17,0.49999104132957534,0.960045674994278
RH,2017,12,4,5,9,9,0.4999998052356814,0.9258746722145373
RH,2017,13,5,4,9,9,0.5,0.9258747122872905
RH,2017,14,4,3,7,7,0.5,0.9057236642639067
RH,2017,15,2,3,5,5,0.5,0.8705505632961241
RH,2018,4,1,2,3,3,0.5,0.7937005259840998
RH,2018,5,1,1,2,2,0.5,0.7071067811865476
RH,2018,6,2,2,4,4,0.25,0.7071067811865476
RH,2018,7,3,2,5,5,0.5,0.8705505632961241
RH,2018,8,2,1,3,3,0.5,0.7937005259840998
RH,2018,9,4,5,9,9,0.4999768279213336,0.9258699445353822
RH,2018,10,3,7,10,10,0.4999999898145761,0.9330329896361401
RH,2018,11,5,7,12,12,0.49999767599618344,0.9438739470863304
RH,2018,12,4,7,11,11,0.49984322089828886,0.9389041423472517
RH,2018,13,4,7,11,11,0.4999998208283356,0.9389308800744625
RH,2018,14,4,6,10,10,0.5,0.9330329915368074
RH,2018,15,2,1,3,3,0.5,0.7937005259840998
RH,2018,16,2,2,4,4,0.5,0.8408964152537145
RH,2018,17,2,1,3,3,0.5,0.7937005259840998
