year,week,n_bee,n_plant,S,S_eff,Omega,omega
2020,10,8,21,29,18,0.4999999576416507,0.9622238323654546
2020,11,8,17,25,20,0.4999999981930961,0.9659363287503101
2020,12,5,13,18,13,0.09159176673616376,0.8320373129619381
2020,13,5,7,12,8,0.5,0.9170040432046712
2020,14,8,8,16,14,0.20745541694087363,0.8937353023460455
2020,15,7,8,15,10,0.5,0.9330329915368074
2020,16,7,7,14,11,0.5,0.9389309106617063
2020,17,5,5,10,8,0.5,0.9170040432046712
2020,18,2,1,3,2,0.5,0.7071067811865476
2020,19,1,1,2,2,0.5,0.7071067811865476
2021,2,2,2,4,4,0.25,0.7071067811865476
2021,3,1,2,3,2,0.5,0.7071067811865476
2021,4,5,2,7,5,0.5,0.8705505632961241
2021,5,6,4,10,6,0.5,0.8908987181403393
2021,6,5,7,12,11,0.21507791996690495,0.8696147419687604
2021,7,7,9,16,15,0.499991722532214,0.9548405500795261
2021,8,7,11,18,13,0.5,0.9480775143391714
2021,9,9,19,28,22,0.499999999971746,0.9689844738987735
2021,10,9,22,31,25,0.49998217088396674,0.9726535600623062
2021,11,9,20,29,25,0.4999999999967114,0.9726549474120296
2021,12,9,28,37,28,0.4999928875770168,0.9755481464409896
2021,13,9,24,33,24,0.4999966709003683,0.971531671625527
2021,14,9,30,39,29,0.49999995828522253,0.9763817519092874
2021,15,9,31,40,32,0.5,0.9785720620877001
2021,16,9,20,29,26,0.4999926454414534,0.9736921698412216
2021,17,8,13,21,19,0.5,0.9641759979424951
2021,18,8,14,22,18,0.4999999999999998,0.9622238368941451
2021,19,8,10,18,13,0.5,0.9480775143391714
2021,20,5,8,13,11,0.09505192963502865,0.8073974212569864
2021,21,1,1,2,2,0.5,0.7071067811865476
2021,22,1,1,2,2,0.5,0.7071067811865476
2022,1,1,3,4,2,0.5,0.7071067811865476
2022,2,3,4,7,6,0.5,0.8908987181403393
2022,3,5,5,10,6,0.5,0.8908987181403393
2022,4,8,7,15,12,0.5,0.9438743126816935
2022,5,8,8,16,14,0.21192254053566312,0.8950963713720697
2022,6,7,6,13,12,0.4999897251964535,0.9438726963126136
2022,7,8,11,19,17,0.5,0.9600466868547932
2022,8,6,16,22,17,0.49999838447889733,0.9600465043867885
2022,9,9,22,31,27,0.4999975004672481,0.9746544286641362
2022,10,9,25,34,23,0.49999999999994565,0.9703127527497936
2022,11,7,24,31,21,0.49999999343836476,0.9675317779192639
2022,12,8,24,32,26,0.5,0.9736927206974342
2022,13,9,19,28,23,0.4999999537829219,0.970312748850231
2022,14,9,13,22,17,0.49999898402073184,0.9600465721032093
2022,15,8,16,24,16,0.4999999565925498,0.9576032755026839
2022,16,8,12,20,11,0.5,0.9389309106617063
2022,17,7,8,15,11,0.2134271277637757,0.8690058353038433
2022,18,4,6,10,8,0.21917046678117197,0.8271756741635529
2022,19,2,1,3,2,0.5,0.7071067811865476
2023,1,1,1,2,2,0.5,0.7071067811865476
2023,2,5,4,9,8,0.5,0.9170040432046712
2023,3,6,7,13,10,0.5,0.9330329915368074
2023,4,6,7,13,13,0.5,0.9480775143391714
2023,5,7,7,14,13,0.499999999999997,0.948077514339171
2023,6,9,10,19,18,0.4999921118641459,0.9622229935376013
2023,7,7,10,17,15,0.4999999967050369,0.9548416034909275
2023,8,7,12,19,18,0.4999999999999646,0.9622238368941414
2023,9,8,12,20,19,0.49999986793332174,0.9641759845387543
2023,10,8,12,20,15,0.5,0.9548416039104165
2023,11,8,10,18,15,0.4999999718717047,0.954841600329341
2023,12,6,8,14,12,0.5,0.9438743126816935
2023,13,5,6,11,9,0.22451538047589764,0.8470640163017272
2023,14,6,4,10,9,0.5,0.9258747122872905
2023,15,7,3,10,6,0.5,0.8908987181403393
